retailer,shell_egg_listings,cage_free_skus,caged_skus,unknown_skus,listings_central_pct,listings_central_informed_pct,listings_central_proportional_pct,listings_cf_strict_pct,listings_cf_strict_95ci,listings_cf_resolved_95ci,prior_estimate_pct,prior_estimate_50ci,diff_central_minus_prior_pp,central_in_prior_50ci,prior_in_listings_strict_95ci,prior_source,commitment,scrape_note
Carrefour,11,11,0,0,100,100,100,100,74-100,74-100,100,98-100,0,true,true,OBA May 2025 audit; observatoriodebienestaranimal.org,100% fresh; ingredient eggs ~35%,
Mercadona,7,2,4,1,33,33,33,29,8-64,10-70,65,62-68,-32,false,false,Mercadona corporate; OBA May 2025 benchmark,100% by end-2025 (slipped from end-2022),
Lidl,0,0,0,0,,,,,,,100,99-100,,,,EggTrack 2024 Leader; OBA May 2025 audit,100% — first chain in Spain to sell only cage-free shell eggs,Lidl.es online catalogue does not include fresh shell eggs (in-store only). Cage-free status: 100% per EggTrack 2024 (Leader) and OBA April 2025 audit.
Eroski,20,14,1,5,78,78,93,70,48-85,70-99,43,32-58,35,false,false,"Prior estimate: 35% (2018 baseline, FRS) + Caprabo 100% subsidiary blend",100% by end-2024 (missed),
Caprabo,19,17,0,2,93,93,100,89,69-97,82-100,100,95-100,-7,false,false,Eroski 2022 sustainability report (Caprabo subsidiary 100% cage-free); part of Eroski Group,Cage-free transition completed (per parent group disclosure),
DIA,10,6,0,4,73,73,100,60,31-83,61-100,58,52-63,15,false,true,DIA corporate (diacorporate.com); EggTrack 2024,100% by end-2025,
Eroski Group,39,31,1,7,85,85,97,79,64-89,84-99,,,,,,,,Combined: Eroski + Caprabo
